YEAR,PERIOD,JE_REF,DATE,ENTITY_CODE,ACCOUNT,ACC_NAME,AMOUNT,DESCRIPTION,OPERATOR,TIME,Manual,
2012,5,1,05/06/2012,9840,22931,Revenue accrual,243961.09,ACCRUE UK INVOICE,HOCKK,06:39:22,y,
2012,5,1,05/06/2012,1000,31440,Revenue accrual,-84801.85,Auto offset to company 0400,HOCKK,06:39:22,y,
2012,5,1,05/06/2012,1901,62700,Expense, other,-57603.15,ACCRUE UK INVOICE,HOCKK,06:39:22,y,
2012,5,1,05/06/2012,1976,62700,Expense other,-4619.03,ACCRUE UK INVOICE,HOCKK,06:39:22,y,
2012,5,1,05/06/2012,1579,67370,Audit,-91007.89,ACCRUE UK INVOICE,HOCKK,06:39:22,y,
2012,5,1,05/06/2012,1579,67370,Audit,-1855.36,ACCRUE UK INVOICE,HOCKK,06:39:22,y,
2012,5,1,05/06/2012,1901,67370,Audit,-4073.81,ACCRUE UK INVOICE,HOCKK,06:39:22,y,
2012,5,803,05/04/2012,1475,13171,Accruals,-31734.96,Monthly Accrual Nonstk& Exp,HOFFMAN,01:45:14,n,
2012,5,803,05/04/2012,1756,13171,Accruals,-34851.2,Monthly Accrual Nonstk& Exp,HOFFMAN,01:45:14,n,
2012,5,803,05/04/2012,1680,13301,Expense,-14,Monthly Accrual Nonstk& Exp,HOFFMAN,01:45:14,n,
2012,5,803,05/04/2012,107,13314,Telephone expense,-67103.79,Monthly Accrual Nonstk& Exp,HOFFMAN,01:45:14,n,
2012,5,803,05/04/2012,814,13314,Telephone expense,-2325,Monthly Accrual Nonstk& Exp,HOFFMAN,01:45:14,n,
2012,5,803,05/04/2012,107,13314,Telephone expense,-33000,Monthly Accrual Nonstk& Exp,HOFFMAN,01:45:14,n,
2012,5,803,05/04/2012,107,13314,Telephone expense,-3400,Monthly Accrual Nonstk& Exp,HOFFMAN,01:45:14,n,
2012,5,803,05/04/2012,107,13314,Telephone expense,-535.36,Monthly Accrual Nonstk& Exp,HOFFMAN,01:45:14,n,
2012,5,803,05/04/2012,1475,13317,Legal expense,-40.9,Monthly Accrual Nonstk& Exp,HOFFMAN,01:45:14,n,
2012,5,803,05/04/2012,1475,13317,Legal expense,-975,Monthly Accrual Nonstk& Exp,HOFFMAN,01:45:14,n,
2012,5,803,05/04/2012,1475,13317,Legal expense,-27654.45,Monthly Accrual Nonstk& Exp,HOFFMAN,01:45:14,n,
test,2012,5,803,05/04/2012,1475,13317,Legal expense,-2470,Monthly Accrual Nonstk& Exp,HOFFMAN,01:45:14,n,
2012,5,803,05/04/2012,1475,13317,Legal expense,-17775.26,Monthly Accrual Nonstk& Exp,HOFFMAN,01:45:14,n,
2012,5,803,05/04/2012,107,13510,Rent,-220,Monthly Accrual Nonstk& Exp,HOFFMAN,01:45:14,n,
2012,5,803,05/04/2012,107,13531,Lease,-59471.9,Monthly Accrual Nonstk& Exp,HOFFMAN,01:45:14,n,
2012,5,803,05/04/2012,1475,14799,Salaries,-86784,Monthly Accrual Nonstk& Exp,HOFFMAN,01:45:14,n,
